RIDRETH3,FSDHH,behavior,frequency
Non-Hispanic Black,Marginal,Carb Restriction,0.1414141414141414
Non-Hispanic Black,Low,Ate Less Overall,0.24472573839662448
Non-Hispanic Black,Low,Ate Less Fat,0.12236286919831224
Non-Hispanic Black,Low,Skipped Meals,0.10548523206751055
Non-Hispanic Black,Low,Liquid Diet,0.02531645569620253
Non-Hispanic Black,Low,nonRx Diet Pills,0.05063291139240506
Non-Hispanic Black,Low,Purging,0.008438818565400843
Non-Hispanic Black,Low,Water Loading,0.25316455696202533
Non-Hispanic Black,Low,Carb Restriction,0.08438818565400844
Non-Hispanic Black,Very Low,Ate Less Overall,0.2727272727272727
Non-Hispanic Black,Very Low,Ate Less Fat,0.14285714285714285
Non-Hispanic Black,Very Low,Skipped Meals,0.16883116883116883
Non-Hispanic Black,Very Low,Liquid Diet,0.05194805194805195
Non-Hispanic Black,Very Low,nonRx Diet Pills,0.05844155844155844
Non-Hispanic Black,Very Low,Purging,0.025974025974025976
Non-Hispanic Black,Very Low,Water Loading,0.2987012987012987
Non-Hispanic Black,Very Low,Carb Restriction,0.08441558441558442
Non-Hispanic Asian,Full,Ate Less Overall,0.21521335807050093
Non-Hispanic Asian,Full,Ate Less Fat,0.12987012987012986
Non-Hispanic Asian,Full,Skipped Meals,0.05194805194805195
Non-Hispanic Asian,Full,Liquid Diet,0.00927643784786642
Non-Hispanic Asian,Full,nonRx Diet Pills,0.00927643784786642
Non-Hispanic Asian,Full,Purging,0.0037105751391465678
Non-Hispanic Asian,Full,Water Loading,0.15769944341372913
Non-Hispanic Asian,Full,Carb Restriction,0.13172541743970315
Non-Hispanic Asian,Marginal,Ate Less Overall,0.26136363636363635
Non-Hispanic Asian,Marginal,Ate Less Fat,0.13636363636363635
Non-Hispanic Asian,Marginal,Skipped Meals,0.09090909090909091
Non-Hispanic Asian,Marginal,Liquid Diet,0.03409090909090909
Non-Hispanic Asian,Marginal,nonRx Diet Pills,0.011363636363636364
Non-Hispanic Asian,Marginal,Purging,0
Non-Hispanic Asian,Marginal,Water Loading,0.26136363636363635
Non-Hispanic Asian,Marginal,Carb Restriction,0.125
Non-Hispanic Asian,Low,Ate Less Overall,0.1875
Non-Hispanic Asian,Low,Ate Less Fat,0.0875
Non-Hispanic Asian,Low,Skipped Meals,0.0125
Non-Hispanic Asian,Low,Liquid Diet,0.0125
Non-Hispanic Asian,Low,nonRx Diet Pills,0
Non-Hispanic Asian,Low,Purging,0
Non-Hispanic Asian,Low,Water Loading,0.1625
Non-Hispanic Asian,Low,Carb Restriction,0.075
Non-Hispanic Asian,Very Low,Ate Less Overall,0.2222222222222222
Non-Hispanic Asian,Very Low,Ate Less Fat,0
Non-Hispanic Asian,Very Low,Skipped Meals,0.1111111111111111
Non-Hispanic Asian,Very Low,Liquid Diet,0
Non-Hispanic Asian,Very Low,nonRx Diet Pills,0
Non-Hispanic Asian,Very Low,Purging,0
Non-Hispanic Asian,Very Low,Water Loading,0.1111111111111111
Non-Hispanic Asian,Very Low,Carb Restriction,0
Other Race/Multiracial,Full,Ate Less Overall,0.3076923076923077
Other Race/Multiracial,Full,Ate Less Fat,0.16153846153846155
Other Race/Multiracial,Full,Skipped Meals,0.09230769230769231
Other Race/Multiracial,Full,Liquid Diet,0.06153846153846154
Other Race/Multiracial,Full,nonRx Diet Pills,0.06153846153846154
Other Race/Multiracial,Full,Purging,0.007692307692307693
Other Race/Multiracial,Full,Water Loading,0.2923076923076923
Other Race/Multiracial,Full,Carb Restriction,0.17692307692307693
Other Race/Multiracial,Marginal,Ate Less Overall,0.39473684210526316
Other Race/Multiracial,Marginal,Ate Less Fat,0.18421052631578946
Other Race/Multiracial,Marginal,Skipped Meals,0.13157894736842105
Other Race/Multiracial,Marginal,Liquid Diet,0.02631578947368421
Other Race/Multiracial,Marginal,nonRx Diet Pills,0.05263157894736842
